OCC,ATC
Agri Equip Dealer,20
Aircraft Hanger/Repair,7
Amusement Park/Fairgrounds,10
Apartment,2
Appliance Repair,7
Appliance Retail,5
Auditoriums/Arenas,10
Auto Dealer - Service Repair,7
Auto Dealer - Showroom,7
Auto Dealer-Floor Plan,7
Auto Parts and Supplies,7
Auto repair shop,7
Bakeries,5
Bar/Tavern,10
Beauty Salon,7
Bowling Alley,10
Brewery,14
Builder Risk,1
Builders Risk,1
Builder's Risk,1
Building materials dealers,8
Building Supplies - Not Lumber Yard,8
Camera/Photo Supplies,8
Camps,10
Carpet/Floor Distributing,6
Casino - With BI,48
Casino -Ex BI,48
Churches,22
Clinics/laboratories,8
Clothing Retail/Wholesale,5
Clubs - Health,9
Clubs-Social,10
Condominium,43
Contractor Equipment dealer,7
Contractors,8
Contractors Offices,8
Convenient Store,5
Country Club,10
Day Care Center,25
Deli,5
Department Store,5
Distributors (no chemicals),6
Drug Store,5
Dry Cleaners,7
Dwelling,1
Exhibition Halls,10
Exterminators/pest control,7
Farmers Market,5
Feed/grain stores or dealers,6
Food Processing - Processing Only,14
Funeral home/Mortuary,7
Furniture Retail/Wholesaler,5
Gasoline Station,44
Glass Products,5
Grocer - Small Retail,5
Grocer - Supermarket,5
Gunsmith,13
Habitational,?
Habitational Student Living,4
Halls,4
Hardware Store,5
Health Club,10
Hospital,9
Hotels/Motels,3
Industrial processing,38
Jewelry- retail/Wholesale,5
Laboratory - Research,8
Laboratory Equipment,8
Laundry -Commercial,7
Lessors Risk,37
Library,25
Liquor stores,5
Machine shops,5
Manufacturing - Boats,12
Manufacturing - Electronics,30
Manufacturing - Fiberglass,13
Manufacturing (hazardous),15
Manufacturing (non-hazardous),13
Manufacturing -Mixed,12
Manufacturing -Plastics,12
Marinas,29
Medical office,9
Mercantile Building,5
Metal Fabrication,16
Metal Worker - Non Molten,16
Mini-storage facilities,6
Museum,10
Night Club,10
Nursing Home,4
Offices,8
Other,0
Pawn shops,5
Prison/Halfway House,23
Recycling/salvage,32
Restaurant,47
Schools,25
Service,0
Shops/Retail,5
