Occupancy description,scheme,label
10-PLEX,ATC,2
16-PLEX,ATC,2
4-PLEX,ATC,2
CO,ATC,8
CSC,ATC,5
M,ATC,2
MS,ATC,6
MS/C,ATC,6
NA,ATC,0
R-2,ATC,1
S,ATC,1
W,ATC,6
 5 Backflow Preventors,ATC,32
 Benches (Variety),ATC,10
 Foothills Park Playground Equipment,ATC,10
 Harlequin Irrigation Pump Station,ATC,31
" Honey Locust (6) @ $3,000",ATC,10
 Mailboxes,ATC,23
" Miscellaneous Outdoor Property, Incl. but Not Limited To: Trees, Fences, Light Poles, Signs, Etc.",ATC,20
 Northtree/Ranch House Park - Benches (12),ATC,10
 Underground conduit vault,ATC,23
 Water Treatment Plant,ATC,32
 Well No. 1 - Well Casing & Pump,ATC,31
"	Venetucci Pump Station - 140,000 Gallon Water Tank",ATC,31
"	Venetucci Pump Station - Well #7",ATC,31
"""A Girl's Best Friend"" Median Art",ATC,10
"""Actors"" Median Art",ATC,10
"""American Primitive"" Art Sculpture",ATC,10
"""Arc of Peace"" Public Art",ATC,10
"""Aspen Trees and Dancing Moon"" Median Art",ATC,10
"""Colfax Ave"" Sculpture",ATC,10
"""Cross and Swords"" Sculpture",ATC,10
"""Desert Plants"" Art Sculpture (In storage)",ATC,10
"""Eye on the Ball"" Public Art",ATC,10
"""Flow"" Median Art Feature",ATC,10
"""Gnosis"" Sculpture",ATC,10
"""Growing"" Sculpture",ATC,10
"""Joyfully Dancing"" Median Art",ATC,10
"""Little Boy Boots"" Bronze Sculpture",ATC,10
"""Nix the Lab"" Art Sculpture",ATC,10
"""North Wynkoop"" Fence Screening/Graphics",ATC,10
"""Ornamental Lanterns"" Sculpture",ATC,10
"""Out With the Kids"" Sculpture",ATC,10
"""Peace Symbol"" Sculpture",ATC,10
"""Plumera"" Sculpture",ATC,10
"""Prickly Pear""",ATC,10
"""Rayonism"" Median Art",ATC,10
"""Silver Moon"" Public Art",ATC,10
"""Spirit of the Sun"" Sculpture",ATC,10
"""Spirits of the Plaines"" Mural",ATC,10
"""Stainless Girl Hawk"" Sculpture",ATC,10
