Code,NAME,DESCRIPTION,
RMS:0,Unknown,"Unknown : Use if the construction class is unknown. When specified, the model uses appropriate region- dependent building inventory to construct a composite vulnerability curve that is representative of the average vulnerability over all construction classes associated with the buildings occupancy type, year of construction, number of stories and floor area, if specified.",
RMS:1,Wood,"Wood : Buildings in which the perimeter wall and roof construction consists of wood framing. Walls are typically wood studs sheathed on exposed exterior surfaces with plywood, lap siding, stucco, or brick veneer and on interior surfaces with gypsum board or lath and plaster. Floors and roofs are typically constructed of wood joists sheathed with plywood or wood decking.",
RMS:1A,Light Wood Frame,Light Wood Frame,
RMS:1A1,Light Wood Stud Walls,"Light Wood Stud Walls : Buildings with walls constructed of 2x4 or 2x6 wood studs spaced at 16 covered on the outside with plywood, lap siding, or stucco and on the inside with gypsum board or lath and plaster. Floors are constructed of 2x8 - 2x12 wood joists covered with plywood, and roofs are constructed of 2x6 joists covered by plywood or spaced boards and shingles. Gravity loads are carried by the walls in shear and lateral earthquake forces are resisted by the walls in shear. This is a very common form of residential construction throughout the U.S. Well constructed buildings of this type are typically earthquake resistant because of the high lateral force strength that the wood stud walls with plywood provides, and because the buildings are light weight. either lattice bamboo covered with mud (known as shinkabe) or wood lath with plaster (ohkabe). Many severe earthquakes in Japan in the 20th century have demonstrated that these buildings, constructed prior to about 1980, are not earthquake resistant. Gravity loads are carried by the posts, and lateral earthquake forces are resisted by the walls in shear. This type of construction is not common in the U.S.",
RMS:1A3,Light Wood Stud Walls with Brick Masonry Veneer,"Light Wood Stud Walls with Brick Masonry Veneer : Buildings in which the exterior façade consists of a Brick Masonry Veneer anchored with brick ties to a Light Wood Stud Framework. The interior is finished with plasterboard. Gravity loads are carried by the stud walls in compression, which are also braced with metal straps, wood, or structural plywood to support lateral loads. Increased weight of the brick veneer and out-of-plane failures contribute to a decrease in seismic performance relative to 1A1.",
RMS:1B,Heavy Timber,Heavy Timber,
RMS:1B1,Heavy Timber Frame,"Heavy Timber Frame : Buildings constructed with large vertical members (posts or columns), typically 8x8 or larger, that are capable of supporting heavy industrial or warehouse loads and with large horizontal members that are capable of supporting heavy loads over long spans. Gravity forces are carried by the posts or columns, and lateral earthquake forces are typically resisted either by shear in walls or by knee-wall bracing (partial height diagonal bracing). Pole construction, in which large poles are installed in holes drilled into the ground and extend to the desired one-, two-, or three- story building height, is one form of heavy timber construction. In pole construction, lateral earthquake resistance is established from the embedment of the pole into the ground.",
RMS:1B2,Heavy Timber Frame with Unreinforced Masonry Infill,"Heavy Timber Frame with Unreinforced Masonry Infill : Buildings with large vertical and horizontal members, similar in size to those in Construction Class 1B1, but with masonry infill providing the lateral earthquake force resistance. This type of construction is very popular in the U.S. for schools, gymnasiums, and churches, in which the large beams and columns are commonly gluelam (thin, approx. 1 boards, that are glued together to form a beam with a depth of about 24).",
RMS:2,Masonry,Masonry,
RMS:2A,Weak Masonry,Weak Masonry,
RMS:2A1,Rubble Stone Masonry,"Rubble Stone Masonry : Buildings having walls constructed using uncut stone masonry units, and likely using a weak mortar. Floors typically have wood joists covered with boards. The roof is also made up with wood joists, and covered with a water shedding material. Older buildings may have a heavy earthen material roof, while newer buildings of this type may have light corrugated metal sheeting. Weak mortar is material that is not stable in water, as opposed to Portland Cement mortar which is stable in water. Thus, while the stone masonry units will retain their strength over time, the strength of the mortar will degrade over time. Gravity loads are carried by the walls in compression, and lateral earthquake forces are resisted by the walls in shear. Although this type of construction is still being used throughout the world, it has not been very common since the beginning of the 20th Century.",
RMS:2A2,Adobe,"Adobe : Buildings having walls constructed of adobe masonry units and likely using a weak mortar. Floors are typically wood joists covered with boards. The roof is also made up with wood joists, and covered with a water shedding material. Older buildings may have a heavy earthen material roof, while newer buildings of this type are likely to have heavy clay tile. Adobe unit masonry blocks are typically sun dried, therefore they are not stable in water. Thus, both the adobe blocks and the mortar are subject to strength deterioration with time. Gravity loads are resisted by the walls in compression, and lateral earthquake forces are resisted by the walls in shear. This type of construction was very popular in the southwest U.S. and in many other countries throughout the world in the 19th century, but it is presently found only rarely in the U.S. and in rural parts of Central and South America.",
RMS:2A3,Reinforced Adobe,"Reinforced Adobe : Adobe construction reinforced by steel mesh, steel bars or bamboos.",
RMS:2B,Unreinforced Masonry,Unreinforced Masonry,
RMS:2B1,Unreinforced Cut Stone Masonry,"Unreinforced Cut Stone Masonry : Buildings having walls constructed of cut stone masonry units stacked together with mortar. Floors are typically wood joists covered with boards. The roof is also made up with wood joists, and covered with a water shedding material. Older buildings may have a heavy earthen material roof, while newer buildings of this type are likely to have heavy clay tile. This type of construction was common for large institutional buildings in the 19th century and early 20th century, and usually has a large footprint. Gravity loads are carried by the walls in compression, and lateral earthquake forces are resisted by the walls in shear. This type of construction is still used today throughout the world, but mostly only for its esthetic value. The mortar in older buildings is likely to be weak (non- Portland Cement type) while newer buildings are likely to be constructed using strong and durable Portland Cement mortar.",
RMS:2B2,Unreinforced Solid Brick Masonry,"Unreinforced Solid Brick Masonry : Buildings having walls constructed of solid brick masonry units stacked together with mortar. Floors are typically wood joists covered with boards or plywood sheeting. The roof is also made up with wood joists, and covered with a water shedding material. Roof surface covering for this type of building includes a variety of materials such as wood shingles, asbestos shingles, and clay tile. Gravity loads are carried by the walls in compression, and lateral earthquake forces are resisted by the walls in shear. This is, and for several centuries has been, a very common form of construction for all types of occupancies worldwide. Earthquake astute parts of the world, however, have abandoned this type of construction. For example, unreinforced masonry construction has not been permitted in California since about 1940.",
